31.210.126.10	INTER NET BILGISAYAR LTD STI,TR
209.237.150.20	Web.com, Inc.,US
52.215.41.155	Amazon Data Services Ireland Limited,IE
91.190.218.40	Skype Du,IE
112.196.24.171	Quadrant Televentures Limited,IN
13.79.239.69	Microsoft Corporation,US
157.55.130.171	Microsoft Corporation,US
157.55.130.173	Microsoft Corporation,US
00:00:00:00:00:00	Not an IP
31.211.152.64	5KOM OOD,BG
23.239.65.186	Nodes Direct,US
23.53.187.27	Akamai Technologies, Inc.,US
213.199.179.171	Microsoft Internet Data Center,IE
213.199.179.173	Microsoft Internet Data Center,IE
8.8.8.8	Level 3 Communications, Inc.,US
157.56.114.105	Microsoft Corporation,US
104.238.150.145	Vultr Holdings, LLC,JP
38.90.226.37	PSINet, Inc.,US
157.55.56.140	Microsoft Corporation,US
157.55.56.141	Microsoft Corporation,US
157.55.56.142	Microsoft Corporation,US
157.55.56.143	Microsoft Corporation,US
40.77.226.249	Microsoft Corporation,US
191.233.80.151	Microsoft Informatica Ltda,BR
65.55.223.27	Microsoft Corporation,US
52.218.64.140	Amazon Technologies Inc.,US
77.75.76.72	Seznam.cz,CZ
104.127.48.56	Akamai International, BV,NL
65.167.76.114	Sprint,US
10.0.2.113	Private Use
157.55.130.145	Microsoft Corporation,US
52.85.172.58	Amazon Technologies Inc.,US
91.190.217.143	Skype Lu,LU
157.55.56.149	Microsoft Corporation,US
65.55.246.149	Microsoft Corporation,US
93.89.224.62	ISIMTESCIL,CY
213.199.179.168	Microsoft Internet Data Center,IE
91.190.218.125	Skype Du,IE
195.113.232.90	CESNET, z.s.p.o. Prague 6,CZ
195.113.232.91	CESNET, z.s.p.o. Prague 6,CZ
87.97.173.26	Blizoo Media and Broadband EAD Blizoo Docsys Sunny Beach,BG
202.6.226.62	Padi Internet, PT Internet Service Provider Mayjen Sungkono no.83 Surabaya 60242 Indonesia,ID
31.193.142.216	Canonical range for H4,GB
61.219.141.68	Data Communication Business Group, Chunghwa Telecom Co.,Ltd. No.21, Sec.1, Xinyi Rd., Taipei City 10048, Taiwan,TW
64.4.23.149	Microsoft Corporation,US
40.77.226.250	Microsoft Corporation,US
91.190.218.126	Skype Du,IE
157.55.235.164	Microsoft Corporation,US
65.55.223.36	Microsoft Corporation,US
157.55.235.167	Microsoft Corporation,US
65.54.225.167	Microsoft Corporation,US
46.234.109.131	Firma 2.0 s.r.o.,CZ
54.230.46.90	Amazon Technologies Inc.,US
216.58.209.163	Google LLC,US
239.255.255.250	Private Use
157.55.130.153	Microsoft Corporation,US
54.240.162.20	Amazon Technologies Inc.,US
00:00:03:f2:50:31	Not an IP
157.55.130.157	Microsoft Corporation,US
216.58.214.238	Google LLC,US
91.190.216.212	Skype Lu,LU
195.113.232.82	CESNET, z.s.p.o. Prague 6,CZ
64.4.23.159	Microsoft Corporation,US
157.55.235.174	Microsoft Corporation,US
ff02::1:2	Private Use
ff02::1:3	Private Use
64.4.23.153	Microsoft Corporation,US
74.125.71.239	Google LLC,US
45.32.148.9	Choopa, LLC,US
77.75.76.146	Seznam.cz,CZ
93.184.220.29	NETBLK-03-EU-93-184-220-0-22,EU
10.0.2.200	Private Use
23.74.24.171	Akamai International, BV,NL
216.58.209.174	Google LLC,US
40.114.149.220	Microsoft Corporation,US
